"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 64",13.8112156277376,-52.3321175617341,79.9545488172092,-87.3462831059999,114.968714361475
"Feb 64",7.24150272416365,-58.9126962481282,73.3957016964555,-93.932613790367,108.415619238694
"Mar 64",11.8423032434262,-54.3212209258836,78.0058274127359,-89.3460749292346,113.030681416087
"Apr 64",1.34168419410416,-64.8298431889568,67.5132115771651,-99.8589338377512,102.54230222596
"May 64",20.3951281559166,-45.7832679957208,86.5735243075541,-80.815994750959,121.606251062792
"Jun 64",70.0299757467151,3.84568437158342,136.214267121847,-31.1901631264627,171.250114619893
"Jul 64",222.158518670283,155.969167562111,288.347869778456,120.930641603186,323.386395737381
"Aug 64",201.351400566373,135.1577067562,267.545094376545,100.116881909702,302.585919223043
"Sep 64",138.179846793193,71.9824256617559,204.377267924629,36.9396276905683,239.420065895817
"Oct 64",8.49015498439308,-57.71046531748,74.6907752862661,-92.7549568271976,109.735266795984
"Nov 64",6.65412463207576,-59.5492415472381,72.8574908113896,-94.5951866366688,107.90343590082
"Dec 64",0.187782360090079,-66.0179406461109,66.3935053662911,-101.065133364332,101.440698084512
